date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year
2017-09-04,0.68944,0.63496,5.34,-6.56002,0.56,0.114236,0.2223935,0.042019683,0.175196,0.458618,123.53162,224771.3,2017
2017-09-05,0.70142,0.63956,5.18,-6.47048,0.56,0.115272,0.20411596,0.043174401,0.17905,0.455518,122.67934,222189.62,2017
2017-09-06,0.70394,0.64884,5.36,-6.41078,0.56,0.116878,0.19457328,0.043153001,0.179222,0.454238,121.4293,219802.14,2017
2017-09-07,0.70274,0.64608,5.56,-6.46182,0.56,0.116506,0.19506528,0.057690741,0.17975,0.443078,122.1365,219417.44,2017
2017-09-08,0.71514,0.63146,5.34,-6.60486,0.5,0.119436,0.19697328,0.057686703,0.175584,0.449578,120.53298,218892.5,2017
2017-09-09,0.7194,0.63384,5.56,-6.76286,0.54,0.120136,0.20269328,0.05070179,0.175284,0.458638,119.81548,219067.74,2017
2017-09-10,0.71326,0.632,5.34,-6.81376,0.54,0.114004,0.191825242,0.054479812,0.170548,0.441718,121.43114,221464.3,2017
2017-09-11,0.629,0.64936,5.56,-6.19542,0.62,0.094058,0.1497238,0.029677906,0.178428,0.448636,119.01006,221561.7,2017
2017-09-12,0.63074,0.63716,5.54,-6.44512,0.62,0.088858,0.1689618,0.029985826,0.174108,0.437068,118.72412,218857.2,2017
2017-09-13,0.63258,0.63714,5.14,-6.46912,0.64,0.093816,0.1793678,0.030717919,0.171622,0.436008,118.75342,218300.88,2017
2017-09-14,0.63164,0.63642,5.06,-6.63444,0.64,0.095456,0.1950098,0.048319879,0.16947,0.444114,118.78322,216237.1,2017
2017-09-15,0.6395,0.63184,5.26,-6.4388,0.56,0.09489,0.1952916,0.055953999,0.1713,0.418954,120.38202,216991.94,2017
2017-09-16,0.64726,0.63582,5.38,-6.38856,0.56,0.096388,0.1917496,0.040265219,0.172904,0.425334,121.3702,215456.48,2017
2017-09-17,0.64882,0.64606,5.12,-6.27512,0.58,0.09742,0.181585562,0.030407519,0.16758,0.435142,122.493,214456.12,2017
2017-09-18,0.62632,0.62536,4.9,-6.45798,0.64,0.103608,0.213318068,0.054840683,0.148502,0.396134,125.58892,224410.7,2017
2017-09-19,0.62174,0.626,5.06,-6.44006,0.62,0.101976,0.212690962,0.054846643,0.147864,0.394994,124.28626,222488.6,2017
2017-09-20,0.61652,0.62768,5.02,-6.38262,0.6,0.10187,0.216232962,0.054833859,0.146724,0.395634,123.74598,223273.78,2017
2017-09-21,0.62146,0.6245,4.96,-6.46088,0.6,0.109058,0.230640562,0.054827806,0.145596,0.402454,123.6907,224167.54,2017
2017-09-22,0.61864,0.61544,4.92,-6.48546,0.64,0.108406,0.231258468,0.05608803,0.164676,0.399632,125.30816,224720.02,2017
